SYSTEM,TAG NUMBER,DESCRIPTION,reduced_tag,reduced_desc,col,unit,comment,ENG UNIT,tag_desc_uom
TURBINE UNIT 2,20MAG10CL002.AV,CONDENSATE LEVEL IN CONDENSER MAG10CL002,MAG10CL002.AV,CONDENSATE LEVEL IN CONDENSER,MAG10CL002.AV_CONDENSATE LEVEL IN CONDENSER,2,12,mm,20MAG10CL002.AV_CONDENSATE LEVEL IN CONDENSER MAG10CL002_mm
TURBINE UNIT 2,20MAG10CL003.AV,CONDENSATE LEVEL IN CONDENSER MAG10CL003,MAG10CL003.AV,CONDENSATE LEVEL IN CONDENSER,MAG10CL003.AV_CONDENSATE LEVEL IN CONDENSER,2,12,mm,20MAG10CL003.AV_CONDENSATE LEVEL IN CONDENSER MAG10CL003_mm
TURBINE UNIT 2,20MAG10CL901.AV,CONDENSATE LEVEL IN CONDENSER 1OO3 MAG10CL901,MAG10CL901.AV,CONDENSATE LEVEL IN CONDENSER 1OO3,MAG10CL901.AV_CONDENSATE LEVEL IN CONDENSER 1OO3,2,12,mm,20MAG10CL901.AV_CONDENSATE LEVEL IN CONDENSER 1OO3 MAG10CL901_mm
TURBINE UNIT 2,20MAG10CP001.AV,BYPASS PRESSURE MAG10CP001XXX,MAG10CP001.AV,BYPASS PRESSURE,MAG10CP001.AV_BYPASS PRESSURE,2,12,barg,20MAG10CP001.AV_BYPASS PRESSURE MAG10CP001XXX_barg
TURBINE UNIT 2,20MAG10CP001X.AV,BYPASS PRESSURE MAG10CP001,MAG10CP001X.AV,BYPASS PRESSURE,MAG10CP001X.AV_BYPASS PRESSURE,2,12,barg,20MAG10CP001X.AV_BYPASS PRESSURE MAG10CP001_barg
TURBINE UNIT 2,20MAG10CT001.AV,BYPASS TEMPERATURE MAG10CT001XXX,MAG10CT001.AV,BYPASS TEMPERATURE,MAG10CT001.AV_BYPASS TEMPERATURE,2,12,C,20MAG10CT001.AV_BYPASS TEMPERATURE MAG10CT001XXX_C
TURBINE UNIT 2,20MAG10CT001X.AV,BYPASS TEMPERATURE MAG10CT001,MAG10CT001X.AV,BYPASS TEMPERATURE,MAG10CT001X.AV_BYPASS TEMPERATURE,2,12,C,20MAG10CT001X.AV_BYPASS TEMPERATURE MAG10CT001_C
TURBINE UNIT 2,20MAG10CT002.AV,BYPASS TEMPERATURE MAG10CT002XXX,MAG10CT002.AV,BYPASS TEMPERATURE,MAG10CT002.AV_BYPASS TEMPERATURE,2,12,C,20MAG10CT002.AV_BYPASS TEMPERATURE MAG10CT002XXX_C
TURBINE UNIT 2,20MAG10CT002X.AV,BYPASS TEMPERATURE MAG10CT002,MAG10CT002X.AV,BYPASS TEMPERATURE,MAG10CT002X.AV_BYPASS TEMPERATURE,2,12,C,20MAG10CT002X.AV_BYPASS TEMPERATURE MAG10CT002_C
TURBINE UNIT 2,20MAG10CT003.AV,STEAM TEMPERATURE IN CONDENSER MAG10CT003XXX,MAG10CT003.AV,STEAM TEMPERATURE IN CONDENSER,MAG10CT003.AV_STEAM TEMPERATURE IN CONDENSER,2,12,C,20MAG10CT003.AV_STEAM TEMPERATURE IN CONDENSER MAG10CT003XXX_C
TURBINE UNIT 2,20MAG10CT003X.AV,STEAM TEMPERATURE IN CONDENSER MAG10CT003,MAG10CT003X.AV,STEAM TEMPERATURE IN CONDENSER,MAG10CT003X.AV_STEAM TEMPERATURE IN CONDENSER,2,12,C,20MAG10CT003X.AV_STEAM TEMPERATURE IN CONDENSER MAG10CT003_C
TURBINE UNIT 2,20MAG10CT004.AV,STEAM TEMPERATURE IN CONDENSER MAG10CT004XXX,MAG10CT004.AV,STEAM TEMPERATURE IN CONDENSER,MAG10CT004.AV_STEAM TEMPERATURE IN CONDENSER,2,12,C,20MAG10CT004.AV_STEAM TEMPERATURE IN CONDENSER MAG10CT004XXX_C
TURBINE UNIT 2,20MAG10CT004X.AV,STEAM TEMPERATURE IN CONDENSER MAG10CT004,MAG10CT004X.AV,STEAM TEMPERATURE IN CONDENSER,MAG10CT004X.AV_STEAM TEMPERATURE IN CONDENSER,2,12,C,20MAG10CT004X.AV_STEAM TEMPERATURE IN CONDENSER MAG10CT004_C
